,Optimal_Affected_Component_Uid,Optimal_Failure,log2
0,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.3492
1,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.224
2,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.6169
3,_SE-L2-cdEeet0YmmfbMwkw,CF1,69.2157
4,_SE-L2-cdEeet0YmmfbMwkw,CF1,69.5787
5,_SE-L2-cdEeet0YmmfbMwkw,CF1,69.4327
6,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.6071
7,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.8992
8,_SE-L2-cdEeet0YmmfbMwkw,CF1,69.1355
9,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.6586
10,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.7201
11,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.2098
12,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.7951
13,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.6257
14,_SE-L2-cdEeet0YmmfbMwkw,CF1,69.5029
15,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.7697
16,_SE-L2-cdEeet0YmmfbMwkw,CF1,70.0346
17,_SE-L2-cdEeet0YmmfbMwkw,CF1,69.9853
18,_SE-L2-cdEeet0YmmfbMwkw,CF1,70.0041
19,_SE-L2-cdEeet0YmmfbMwkw,CF1,69.2207
20,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.972
21,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.6461
22,_SE-L2-cdEeet0YmmfbMwkw,CF1,63.3758
23,_SE-L2-cdEeet0YmmfbMwkw,CF1,62.2844
24,_SE-L2-cdEeet0YmmfbMwkw,CF1,62.5734
25,_SE-L2-cdEeet0YmmfbMwkw,CF1,63.4811
26,_SE-L2-cdEeet0YmmfbMwkw,CF1,64.094
27,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.0807
28,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.7705
29,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.96
30,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.2939
31,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.1621
32,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.2159
33,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.0472
34,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.7966
35,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.6757
36,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.4719
37,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.2704
38,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.0808
39,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.3731
40,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.5458
41,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.8826
42,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.9632
43,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.3427
44,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.0485
45,_SE-L2-cdEeet0YmmfbMwkw,CF1,64.9106
46,_SE-L2-cdEeet0YmmfbMwkw,CF1,64.3829
47,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.4069
48,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.1165
49,_SE-L2-cdEeet0YmmfbMwkw,CF1,68.4632
50,_SE-L2-cdEeet0YmmfbMwkw,CF1,65.1454
51,_SE-L2-cdEeet0YmmfbMwkw,CF1,66.0106
52,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.3473
53,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.6697
54,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.193
55,_SE-L2-cdEeet0YmmfbMwkw,CF1,67.4023
56,_SE-L2-cdEeet0YmmfbMwkw,CF1,69.6468
57,_SE-L2-cdEeet0YmmfbMwkw,CF1,70.1677
